business_id,invoice_number,status,issue_date,due_date,sent_date,paid_date,contact_name,contact_email,job_name,location,bill_to_name,bill_to_email,bill_to_address1,bill_to_address2,bill_to_city,bill_to_state,bill_to_postal_code,bill_to_country,memo,subtotal,total,revises_id
1,230011,paid,2023-03-12,2023-04-12,2023-03-12,2023-04-20,NHRA,bdoonan@nhra.com,Gainesville,"Gainsesville, FL",NHRA,bdoonan@nhra.com,140 Via Verde,Suite 100,San Dimas,CA,91773,US,,1500.00,1500.00,
1,230012,paid,2023-04-02,2023-05-02,2023-04-02,2023-05-15,NHRA,bdoonan@nhra.com,Epping,"Epping, NH",NHRA,bdoonan@nhra.com,141 Via Verde,Suite 101,San Dimas,CA,91774,US,,1500.00,1500.00,
1,230013,paid,2023-04-02,2023-05-02,2023-04-02,2023-05-15,NHRA,bdoonan@nhra.com,Pomona I,"Pomona, CA",NHRA,bdoonan@nhra.com,142 Via Verde,Suite 102,San Dimas,CA,91775,US,,1500.00,1500.00,
1,230014,paid,2023-04-16,2023-05-16,2023-04-16,2023-05-15,NHRA,bdoonan@nhra.com,Vegas I,"Las Vegas, NV",NHRA,bdoonan@nhra.com,143 Via Verde,Suite 103,San Dimas,CA,91776,US,,1500.00,1500.00,
1,230015,paid,2023-06-25,2023-07-25,2023-06-25,2023-08-15,NHRA,bdoonan@nhra.com,Norwalk,"Norwalk, OH",NHRA,bdoonan@nhra.com,144 Via Verde,Suite 104,San Dimas,CA,91777,US,,1500.00,1500.00,
1,230016,paid,2023-07-16,2023-08-16,2023-07-16,2023-08-25,NHRA,bdoonan@nhra.com,Denver,"Denver, CO",NHRA,bdoonan@nhra.com,145 Via Verde,Suite 105,San Dimas,CA,91778,US,,1500.00,1500.00,
1,230017,paid,2023-07-23,2023-08-23,2023-07-23,2023-09-01,NHRA,bdoonan@nhra.com,Seattle,"Seattle, WA",NHRA,bdoonan@nhra.com,146 Via Verde,Suite 106,San Dimas,CA,91779,US,,1500.00,1500.00,
1,230018,paid,2023-07-30,2023-08-30,2023-07-30,2023-09-05,NHRA,bdoonan@nhra.com,Sonoma,"Sonoma, CA",NHRA,bdoonan@nhra.com,147 Via Verde,Suite 107,San Dimas,CA,91780,US,,1548.08,1548.08,
1,230019,paid,2023-08-20,2023-09-20,2023-08-20,2023-09-25,NHRA,bdoonan@nhra.com,Brainerd,"Brainerd, MN",NHRA,bdoonan@nhra.com,148 Via Verde,Suite 108,San Dimas,CA,91781,US,,1560.19,1560.19,
1,230020,paid,2023-09-05,2023-10-05,2023-09-05,2023-10-15,NHRA,bdoonan@nhra.com,Indy,"Indianapolis, IN",NHRA,bdoonan@nhra.com,149 Via Verde,Suite 109,San Dimas,CA,91782,US,,1500.00,1500.00,
1,230021,paid,2023-09-17,2023-10-17,2023-09-17,2023-10-30,NHRA,bdoonan@nhra.com,Reading,"Reading, PA",NHRA,bdoonan@nhra.com,150 Via Verde,Suite 110,San Dimas,CA,91783,US,,1500.00,1500.00,
1,230022,paid,2023-09-24,2023-10-24,2023-09-24,2023-10-27,NHRA,bdoonan@nhra.com,Charlotte II,"Charlotte, NC",NHRA,bdoonan@nhra.com,151 Via Verde,Suite 111,San Dimas,CA,91784,US,,1624.00,1624.00,
1,230023,paid,2023-10-01,2023-11-02,2023-10-01,2023-11-10,NHRA,bdoonan@nhra.com,St Louis,St Louis,NHRA,bdoonan@nhra.com,152 Via Verde,Suite 112,San Dimas,CA,91785,US,,1559.26,1559.26,
1,230024,paid,2023-10-15,2023-11-15,2023-10-15,2023-11-20,NHRA,bdoonan@nhra.com,Dallas,"Dallas, TX",NHRA,bdoonan@nhra.com,153 Via Verde,Suite 113,San Dimas,CA,91786,US,,1531.70,1531.70,
1,230025,paid,2023-10-29,2023-11-29,2023-10-29,2023-12-10,NHRA,bdoonan@nhra.com,Vegas II,"Las Vegas, NV",NHRA,bdoonan@nhra.com,154 Via Verde,Suite 114,San Dimas,CA,91787,US,,1531.71,1531.71,
1,230026,paid,2023-11-12,2023-12-12,2023-11-12,2023-12-20,NHRA,bdoonan@nhra.com,Pomona II,"Pomona, Ca",NHRA,bdoonan@nhra.com,155 Via Verde,Suite 115,San Dimas,CA,91788,US,,1598.06,1598.06,
1,240015,paid,2024-03-12,2024-04-12,2024-03-12,2024-04-20,NHRA,bdoonan@nhra.com,Gainesville,"Gainesville, FL",NHRA,bdoonan@nhra.com,156 Via Verde,Suite 116,San Dimas,CA,91789,US,,1585.79,1585.79,
