Business,Date,Amount,Invoice Number,Description,SubCategory,Contact,Team,Job,Vehicle,Transport,Notes
,3/27/24,180.11,<NA>,Google Ads,Advertising,,,,,,
,5/9/24,6.08,<NA>,Senior Portraits - Langemeier,Bank Fees,,"TSP, LLC",,,,
,7/4/24,9.95,<NA>,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,7/31/24,15,<NA>,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,8/4/24,9.95,<NA>,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,8/31/24,15,<NA>,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,9/4/24,9.95,<NA>,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,9/30/24,15,<NA>,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,11/22/24,9,<NA>,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,11/22/24,15,<NA>,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,12/2/24,9,<NA>,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,12/30/24,15,<NA>,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,1/2/25,9,<NA>,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,1/4/25,9.95,<NA>,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,1/25/25,9,<NA>,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,1/25/25,15,<NA>,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,1/30/25,15,<NA>,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,1/31/25,15,<NA>,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2/2/25,9,<NA>,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2/2/25,9,<NA>,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2/2/25,15,<NA>,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2/4/25,9.95,<NA>,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2/8/25,9,<NA>,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2/9/25,15,<NA>,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2/28/25,15,<NA>,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2/28/25,15,<NA>,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
