Business,Date,Amount,Invoice Number,Description,SubCategory,Contact,Team,Job,Vehicle,Transport,Notes
,2024-03-27,180.11,,Google Ads,Advertising,,,,,,
,2024-05-09,6.08,,Senior Portraits - Langemeier,Bank Fees,,"TSP, LLC",,,,
,2024-07-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2024-07-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2024-08-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2024-08-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2024-09-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2024-09-30,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2024-11-22,9,,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2024-11-22,15,,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2024-12-02,9,,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2024-12-30,15,,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-01-02,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-01-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-01-25,9,,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-01-25,15,,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-01-30,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-01-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-02-02,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-02-02,9,,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-02-02,15,,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-02-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-02-08,9,,Chase: PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-02-09,15,,Chase: Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-02-28,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-02-28,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-03-02,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-03-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-03-30,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-03-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-04-02,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-04-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-04-30,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-04-30,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-05-02,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-05-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-05-30,15,,"Chase Bank Fee, Chase Business account",Bank Fees,,"TSP, LLC",,,,
,2025-05-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-06-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-06-12,9,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-06-12,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-06-30,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-07-02,9.95,,PaymentTech,Bank Fees,,"TSP, LLC",,,,
,2025-07-02,15,,Chase Bank Fee,Bank Fees,,"TSP, LLC",,,,
,2025-07-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-07-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-08-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-08-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-09-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-09-30,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-10-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-10-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-11-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-11-30,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2025-12-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2025-12-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2026-01-04,9.95,,PaymnentTech Monthly Fee,Bank Fees,,"TSP, LLC",,,,
,2026-01-31,15,,Chase Business Checking Account Fee,Bank Fees,,"TSP, LLC",,,,
,2023-01-01,109.99,,FirstNet,Cellular Service,,"TSP, LLC",,,,
,2023-01-01,74.4,,Cell Phone,Cellular Service,,"TSP, LLC",,,,
,2023-02-01,109.99,,FirstNet,Cellular Service,,"TSP, LLC",,,,
,2023-02-01,74.4,,Cell Phone,Cellular Service,,"TSP, LLC",,,,
,2023-03-01,109.99,,FirstNet,Cellular Service,,"TSP, LLC",,,,
